Gene ID	Gene name
ILMN_1765574	TFAP2A
ILMN_2317923	TMEM132A
ILMN_2104106	XPR1
ILMN_1728934	PRC1
ILMN_1690170	CRABP2
ILMN_1693410	BRI3BP
ILMN_1701308	COL1A1
ILMN_1757627	ZMYND19
ILMN_1687867	
ILMN_1826921	BLACAT1
ILMN_1765636	
ILMN_1773760	PAICS
ILMN_2405254	GRB7
ILMN_2379130	IRAK1
ILMN_1771120	TMEM45B
ILMN_1743747	RUSC1
ILMN_2383484	C19orf48
ILMN_1736256	CALR
ILMN_2334693	NARF
ILMN_2103591	MORC2
ILMN_1677814	
ILMN_1791726	TUBB3
ILMN_1781636	VWA1
ILMN_2363498	LSR
ILMN_1815745	SOX4
ILMN_1671489	PC
ILMN_1815937	
ILMN_1719660	SMPDL3B
ILMN_2364022	SLC16A3
ILMN_1771026	GARS
ILMN_1766918	KCNK5
ILMN_1711470	UBE2T
ILMN_1714730	
ILMN_1798081	PTPRF
ILMN_1714710	CCDC120
ILMN_1657347	PODXL2
ILMN_1716815	CEACAM1
ILMN_1775327	PKM
ILMN_1712628	GTF2IRD1
ILMN_2352326	COASY
ILMN_2367743	TUBG1
ILMN_1653129	CSTF2
ILMN_1676548	BZW2
ILMN_1801939	CCNB2
ILMN_2181432	SPC24
ILMN_1704294	CDH3
ILMN_1802252	GAPDH
ILMN_1726720	NUSAP1
ILMN_2239774	FAM83A
ILMN_2160929	FEN1
ILMN_2132599	ANKRD22
ILMN_2218648	SLC50A1
ILMN_2302716	ALDH18A1
ILMN_1743911	SLC25A39
ILMN_1706553	
ILMN_1670158	FAM83A
ILMN_1704452	BCL9
ILMN_1671971	
ILMN_2205935	SFXN1
ILMN_1656452	C16orf59
ILMN_1671766	F12
ILMN_1755710	EFNA4
ILMN_1750563	CERCAM
ILMN_1716265	PGM2L1
ILMN_1660864	
ILMN_1784655	TLCD1
ILMN_1752665	ELMO3
ILMN_1679405	DDX56
ILMN_2349459	BIRC5
ILMN_1715583	BOP1
ILMN_1655663	LEPREL4
ILMN_2089167	RHOD
ILMN_1737205	MCM4
ILMN_1791328	STK39
ILMN_1691290	CELSR3
ILMN_1728984	PA2G4
ILMN_1810055	ITFG3
ILMN_1669928	ARHGEF16
ILMN_2374449	SPP1
ILMN_1770940	CDH1
ILMN_1759495	XPO5
ILMN_2399896	SEC31A
ILMN_2161330	SPDEF
ILMN_2384122	GPR56
ILMN_1663667	FLAD1
ILMN_1653358	FUT3
ILMN_1714327	SETD1A
ILMN_2349129	DPP3
ILMN_2212909	MELK
ILMN_1763264	MRPL2
ILMN_1790637	C11orf80
ILMN_1682792	BYSL
ILMN_1741148	ALDOA
ILMN_1767662	CERS6
ILMN_1803824	ZDHHC9
ILMN_1740762	GRB7
ILMN_1815184	ASPM
ILMN_1811729	CBLC
ILMN_1807106	LDHA
ILMN_2160210	EPCAM
ILMN_1735093	TIMELESS
ILMN_1776674	SAC3D1
ILMN_1664516	CENPF
ILMN_2064725	METTL7B
ILMN_1695658	KIF20A
ILMN_1661264	SHMT2
ILMN_1718207	SETDB1
ILMN_1689800	MRTO4
ILMN_1666206	GSDMB
ILMN_1695334	PYGO2
ILMN_1692511	TMEM106C
ILMN_1709294	CDCA8
ILMN_1681503	MCM2
ILMN_1788166	TTK
ILMN_2352131	ERBB2
ILMN_1671557	PHLDA2
ILMN_2347193	GSDMB
ILMN_1700606	RNF43
ILMN_1798030	XPR1
ILMN_2413572	MARK2
ILMN_1794659	FUT2
ILMN_1741054	SLC5A6
ILMN_1686871	PARP1
ILMN_1758750	EARS2
ILMN_1769259	
ILMN_1791826	RAB25
ILMN_1804476	GMPPA
ILMN_1809590	GINS2
ILMN_1763540	PSME4
ILMN_1772286	OCIAD2
ILMN_2366634	PKM
ILMN_1673649	HYOU1
ILMN_1703955	FBXO32
ILMN_1761531	SGPL1
ILMN_1810992	CAD
ILMN_1704500	STAP2
ILMN_1704164	ATP13A2
ILMN_1702197	SAPCD2
ILMN_1684217	AURKB
ILMN_1697777	TSTA3
ILMN_2401258	FAM13A
ILMN_1805737	PFKP
ILMN_2255256	MARVELD3
ILMN_1708223	PAK6
ILMN_1768293	NUP155
ILMN_1807600	NPLOC4
ILMN_1678842	THBS2
ILMN_1785756	H2AFX
ILMN_1699603	MRPL12
ILMN_1753498	COASY
ILMN_1796316	MMP9
ILMN_1705814	KRT80
ILMN_1723087	MDK
ILMN_1703092	RECQL4
ILMN_1798679	ANO9
ILMN_1724145	CBX4
ILMN_2131293	ALG1L
ILMN_2144401	GLB1L2
ILMN_1692938	PSAT1
ILMN_1803593	WNT3
ILMN_2047354	
ILMN_1799815	XYLT2
ILMN_2041222	
ILMN_1724293	KDELR2
ILMN_2355665	MTFP1
ILMN_1670238	CDC45
ILMN_1776516	ITPKA
ILMN_1811470	PLEK2
ILMN_1747016	CEP55
ILMN_1719972	PLXNA3
ILMN_2059689	TMEM54
ILMN_2409220	HMMR
ILMN_1672080	NR2F6
ILMN_2412860	MCM4
ILMN_1776038	UBXN2A
ILMN_2320250	NOL6
ILMN_1765829	NUFIP2
ILMN_1756701	DHRS11
ILMN_2386818	URGCP
ILMN_1722218	MBOAT7
ILMN_1666050	TMUB1
ILMN_1749396	LSR
ILMN_1804642	SMUG1
ILMN_1671257	DKC1
ILMN_1746686	POLR1C
ILMN_1763310	
ILMN_1653278	MUC20
ILMN_1745807	TMEM62
ILMN_1796968	INTS5
ILMN_1733519	HMGB3
ILMN_1756705	CHTF18
ILMN_2285996	KIAA0101
ILMN_2340347	PC
ILMN_2364131	TTPAL
ILMN_2386008	MPZL1
ILMN_1706021	TMPRSS4
ILMN_1757467	H1F0
ILMN_1814966	PIAS3
ILMN_1799848	ANKRD22
ILMN_1800634	NME4
ILMN_1659343	BOLA2
ILMN_1803810	RRBP1
ILMN_1764628	LYPLA2
ILMN_1808712	RNF40
ILMN_2101034	CAPN12
ILMN_1775692	EIF4G3
ILMN_1671600	EPS8L1
ILMN_1787514	CAPN12
ILMN_2275803	LRRC45
ILMN_1651343	
ILMN_1710756	ENO1
ILMN_1797693	BRI3BP
ILMN_1751444	NCAPG
ILMN_2222008	KIFC1
ILMN_2193980	ABCB6
ILMN_1725090	CTHRC1
ILMN_1790202	C1orf35
ILMN_2235137	FANCD2
ILMN_1772991	CHPF2
ILMN_1739645	ANLN
ILMN_1752510	FAM13A
ILMN_2352097	GPR56
ILMN_1659437	TXNDC17
ILMN_1657509	TSEN54
ILMN_2371724	CEACAM1
ILMN_1695604	DCBLD1
ILMN_1688034	COIL
ILMN_1656316	ZMYM3
ILMN_1702933	ADM2
ILMN_1773763	MTA2
ILMN_2362982	ARID4B
ILMN_1677636	COMP
ILMN_1749044	PVRL4
ILMN_1790537	RMI2
ILMN_1808999	ARHGEF19
ILMN_1711166	WRAP73
ILMN_1672776	COL10A1
ILMN_1717173	ECT2
ILMN_1732516	KNTC1
ILMN_2343047	ABCB9
ILMN_1776490	C17orf53
ILMN_1723211	L2HGDH
ILMN_1671911	MTA1
ILMN_1768470	EIF4G1
ILMN_2382505	SLC22A18
ILMN_1660554	VWA1
ILMN_1744912	CTTN
ILMN_2374244	DYRK2
ILMN_1793241	SRD5A1
ILMN_1751776	CKAP2L
ILMN_2360291	UGGT1
ILMN_1705594	NAT10
ILMN_1669502	E2F3
ILMN_1703906	HJURP
ILMN_1724407	TACC3
ILMN_1767514	
ILMN_1801504	RUNX1
ILMN_1713829	PTGES
ILMN_1798172	IPO4
ILMN_1897310	
ILMN_1781680	DAP3
ILMN_1744129	DTX2
ILMN_1680111	AHDC1
ILMN_1767365	PAK1
ILMN_2075189	SLC35F2
ILMN_1716053	AK2
ILMN_2110252	NPM3
ILMN_1812062	SGPP2
ILMN_1793517	RASAL1
ILMN_1727642	MOGS
ILMN_1778032	SURF6
ILMN_1714170	SPSB1
ILMN_1760563	PRRC2A
ILMN_1691048	SLC22A18AS
ILMN_1740395	RAVER1
ILMN_1730809	SLC29A2
ILMN_1862018	
ILMN_1790625	CBX3
ILMN_2362549	ZWINT
ILMN_1651237	CDT1
ILMN_2096012	UHMK1
ILMN_2060145	GRHL2
ILMN_1704672	NABP2
ILMN_1743402	SIX4
ILMN_1751753	IDH2
ILMN_1781942	HMMR
ILMN_1808769	
ILMN_2319424	GYG2
ILMN_2148679	SDHAP3
ILMN_1809866	WDR74
ILMN_1685916	KIF2C
ILMN_1692517	SORD
ILMN_1795865	FGFRL1
ILMN_1805916	NIPSNAP1
ILMN_2349061	IRF7
ILMN_1710644	MARVELD3
ILMN_1796336	MAP1S
ILMN_1655614	DSP
ILMN_1665696	EFNA4
ILMN_1722820	KDELR3
ILMN_1729288	C1QTNF6
ILMN_1731184	MELK
ILMN_1791106	HEATR6
ILMN_2203463	SPATS2
ILMN_2212354	WDR46
ILMN_1729987	SRC
ILMN_1811574	MAPK8IP3
ILMN_2142353	GRTP1
ILMN_1707493	RCC1
ILMN_1813028	CBX5
ILMN_1752802	CLPTM1L
ILMN_1801377	SLC29A4
ILMN_1789001	SLC35B2
ILMN_1769201	ELF3
ILMN_1758629	
ILMN_1716907	TMEM214
ILMN_2379469	EIF3B
ILMN_1748018	GORASP2
ILMN_1706386	SLC39A4
ILMN_2181191	TPI1
ILMN_1661337	SRM
ILMN_1696133	EPT1
ILMN_1720708	CSNK1D
ILMN_1814787	
ILMN_1674386	PITX1
ILMN_1664434	TCF3
ILMN_1796949	TPX2
ILMN_2392635	ABCF1
ILMN_1703284	SPIRE2
ILMN_1776522	SLC50A1
ILMN_1653319	MC1R
ILMN_1789349	UBQLN4
ILMN_1810423	RPP40
ILMN_1820295	
ILMN_1803110	SF3B3
ILMN_1783728	TBRG4
ILMN_1784436	ARHGAP39
ILMN_1751958	NSUN5
ILMN_1758087	TAOK1
ILMN_1675709	ARFGAP1
ILMN_2334210	ITGB4
ILMN_1790987	HUWE1
ILMN_1688154	MST1R
ILMN_1730799	PHF12
ILMN_1790577	SLC35F2
ILMN_1745697	MGRN1
ILMN_1809208	CAMSAP3
ILMN_1786843	KCTD13
ILMN_1743966	BCL9L
ILMN_1787410	EIF6
ILMN_1781374	TUFT1
ILMN_2414399	NME1
ILMN_1777233	E2F2
ILMN_1723871	OTUB1
ILMN_2101832	LAPTM4B
ILMN_1823809	
ILMN_1661138	
ILMN_1736575	TRIM28
ILMN_1789839	GTF3C1
ILMN_1774828	VEZT
ILMN_1738819	EFTUD2
ILMN_1697682	RECQL5
ILMN_1725485	RGS17
ILMN_1786125	CCNA2
ILMN_2075800	PTK6
ILMN_1782331	TDG
ILMN_1722648	SF3B4
ILMN_2381397	HSPD1
ILMN_2202948	BUB1
ILMN_1695414	ASF1B
ILMN_1733930	PREB
ILMN_1784105	SLC38A7
ILMN_1808811	SBNO2
ILMN_1673711	HSP90AB1
ILMN_1805778	RBM12B
ILMN_1780315	PUSL1
ILMN_1680626	PDIA6
ILMN_1677574	GALNT6
ILMN_1804090	SLC25A10
ILMN_2112493	DAP
ILMN_1683277	KIAA0319L
ILMN_1676759	DDX27
ILMN_1712291	MICALL2
ILMN_2308903	
ILMN_1811117	
ILMN_1759184	C19orf48
ILMN_1678805	POMT2
ILMN_2352216	FBXL6
ILMN_1803838	CNFN
ILMN_1748770	CKAP5
ILMN_1784467	NUP210
ILMN_1716488	PACS1
ILMN_1706612	
ILMN_1711699	
ILMN_2206722	
ILMN_1690523	LRRC20
ILMN_1718646	MMP15
ILMN_1657746	BPHL
ILMN_1724941	CDCP1
ILMN_1740291	POLQ
ILMN_2224143	MCM3
ILMN_2344971	FOXM1
ILMN_1709937	KCNN4
ILMN_2343048	ABCB9
ILMN_1790136	MRGBP
ILMN_1718706	ERAL1
ILMN_1700337	TROAP
ILMN_1723117	IPO9
ILMN_1813925	NOL3
ILMN_1750401	C17orf62
ILMN_1667222	MTX1
ILMN_1751028	SERPINH1
ILMN_1739810	RAI1
ILMN_1753449	CST1
ILMN_2112301	DRAP1
ILMN_1742779	CENPL
ILMN_1771593	RRM1
ILMN_1749636	DNAJC22
ILMN_1749829	DLGAP5
ILMN_1666512	SKIV2L
ILMN_2220184	GFPT1
ILMN_1737184	CDCA7
ILMN_2291619	RAB3IP
ILMN_1812441	FAM222B
ILMN_1766010	YARS
ILMN_2108735	EEF1A2
ILMN_1715625	SLX4IP
ILMN_1733511	GOLGA3
ILMN_2413898	MCM10
ILMN_1787266	SPINK1
ILMN_1691364	STAT1
ILMN_1706118	HN1L
ILMN_2343774	
ILMN_1745172	ILF2
ILMN_1708105	EZH2
ILMN_1789507	COL11A1
ILMN_1765109	
ILMN_1742507	LRRC45
ILMN_1676005	KPNA1
ILMN_1789510	STIP1
ILMN_2091792	ENTPD6
ILMN_2150654	ZSWIM4
ILMN_1673721	EXO1
ILMN_1653404	NKIRAS2
ILMN_2338038	AK4
ILMN_2275098	DTX2
ILMN_1687358	
ILMN_1720373	SLC7A5
ILMN_1694603	SMARCC1
ILMN_1664630	CHEK1
ILMN_1683811	TNPO3
ILMN_2415179	CLSTN1
ILMN_2196337	ASUN
ILMN_1765520	MTIF2
ILMN_1794539	KIF11
ILMN_1658301	FAM83E
ILMN_2090802	TMEM79
ILMN_1683609	UBA1
ILMN_1815264	RHBDD3
ILMN_1739594	ACOT11
ILMN_2042771	PTTG1
ILMN_2096784	TFAP2C
ILMN_2366864	JUP
ILMN_2101526	GGCT
ILMN_1669310	RHOT2
ILMN_1759743	SLC38A10
ILMN_1782247	KAT2A
ILMN_1753885	YTHDF1
ILMN_1758823	SMARCB1
ILMN_2365569	ICA1
ILMN_2043728	ZNF341
ILMN_2228453	CEP104
ILMN_1712632	XDH
ILMN_1674302	PPAT
ILMN_1723042	CLDN3
ILMN_1657631	STAP2
ILMN_1741371	TMEM8A
ILMN_2405628	TOP1MT
ILMN_2339705	MED8
ILMN_1898723	SLC9A1
ILMN_2413833	TOX3
ILMN_1673753	
ILMN_1764082	MBOAT1
ILMN_1703053	
ILMN_2410975	ATG9A
ILMN_1654013	HID1
ILMN_1657495	MLEC
ILMN_1740415	
ILMN_1755024	IKBKE
ILMN_1655722	
ILMN_1777881	TSPAN17
ILMN_1731699	RAB15
ILMN_1715636	EIF3B
ILMN_1796206	
ILMN_1658821	SAMD1
ILMN_1683891	TFAP2C
ILMN_1666761	PPP2R5E
ILMN_1670959	CEACAM5
ILMN_1664265	EPHA1
ILMN_1806710	ESPN
ILMN_1807074	MIF
ILMN_1812721	HIP1R
ILMN_2234343	ACP6
ILMN_1752502	HKDC1
ILMN_1694268	HES6
ILMN_1663113	TTLL12
ILMN_1861270	KCNQ3
ILMN_1762095	TMTC4
ILMN_2380938	SYT7
ILMN_2367469	
ILMN_1740418	CYP27B1
ILMN_2051373	NEK2
ILMN_1780667	POC1A
ILMN_1712803	CCNB1
ILMN_1727080	MYO6
ILMN_1812856	ZSWIM1
ILMN_2408938	LRRC20
ILMN_2405078	OSBPL8
ILMN_1779353	PUS7
ILMN_1660871	NEK6
ILMN_1343295	GAPDH
ILMN_1785336	PMM2
ILMN_1680196	LAPTM4B
ILMN_1799667	KIF4A
ILMN_1764508	PTK6
ILMN_1830984	
ILMN_1724437	GCAT
ILMN_1779376	GSK3B
ILMN_1695687	SALL4
ILMN_1766658	PKMYT1
ILMN_1763666	ALDH3B2
ILMN_1802627	PSMG3
ILMN_1701724	GET4
ILMN_1786016	CHD1L
ILMN_1662174	ORMDL3
ILMN_1754179	AP1G2
ILMN_1732537	HEATR2
ILMN_1766125	LONP1
ILMN_1751378	RARS
ILMN_1803018	KIFC2
ILMN_1811719	MYO7A
ILMN_1791057	IFNAR2
ILMN_1719656	MRPL38
ILMN_2078389	SLC4A2
ILMN_1687743	BTBD7
ILMN_1745849	ENTPD5
ILMN_1758311	NET1
ILMN_1668629	
ILMN_1675482	
ILMN_2306189	MAGED1
ILMN_1657288	
ILMN_1659564	SEC61A1
ILMN_1712806	
ILMN_1714216	
ILMN_1719649	TMEM63A
ILMN_1691487	TRAF2
ILMN_1670542	AK2
ILMN_2126957	NOMO1
ILMN_1726516	SCRIB
ILMN_1697971	TRIM38
ILMN_2408179	PRRC2A
ILMN_1729117	COL5A2
ILMN_1762883	ECE2
ILMN_1783350	PCNXL3
ILMN_1719316	TMED3
ILMN_1779147	ENC1
ILMN_1674231	CHAF1B
ILMN_1670752	KIAA0907
ILMN_1745079	TRIM2
ILMN_2389013	ADRM1
ILMN_2406873	ARFGAP1
ILMN_1653220	PITPNM1
ILMN_2068991	
ILMN_1713088	MSI2
ILMN_1765621	HDGF
ILMN_1745256	CXXC5
ILMN_1783337	DECR2
ILMN_1727574	ZNF827
ILMN_1654653	KLC1
ILMN_1787109	
ILMN_1750130	GSPT1
ILMN_2231928	MX2
ILMN_2049021	PTTG3P
ILMN_2143155	KIF11
ILMN_1727540	C1orf112
ILMN_2403458	SMARCB1
ILMN_1692754	VMP1
ILMN_1668814	CENPM
ILMN_1741970	JUP
ILMN_1719938	FGF11
ILMN_1680353	NSF
ILMN_1782501	
ILMN_1651496	HIST1H2BD
ILMN_1678300	
ILMN_2210581	B3GAT3
ILMN_2180239	DOPEY2
ILMN_1782897	CAPRIN1
ILMN_2325506	BCAS4
ILMN_1734476	KIF2A
ILMN_1725946	IRF6
ILMN_1720282	NQO1
ILMN_2412549	GAR1
ILMN_1703337	
ILMN_1656868	
ILMN_1790461	UQCC2
ILMN_2153679	TBC1D3B
ILMN_1755620	IER5L
ILMN_1736154	
ILMN_1713156	
ILMN_1655307	FAM136A
ILMN_1760143	ADRM1
ILMN_1771599	PLOD2
ILMN_1723158	NOP2
ILMN_1703866	SUPT5H
ILMN_1766269	HM13
ILMN_1782403	PRR11
ILMN_1747627	ABCA2
ILMN_1669931	TM9SF3
ILMN_1662741	LPAR2
ILMN_1814173	SMARCA4
ILMN_2271627	ATXN2L
ILMN_1727194	CALU
ILMN_1694810	PANX2
ILMN_1745068	GRTP1
ILMN_1753467	SAMD4B
ILMN_1757106	MARCH6
ILMN_1793854	
ILMN_1668012	SLC25A13
ILMN_1651229	IPO13
ILMN_1738712	GPR180
ILMN_1717887	GOLGA7B
ILMN_1812327	RNF19A
ILMN_1808059	BCAS4
ILMN_1806040	TYMS
ILMN_1779517	RASEF
ILMN_1669052	LRRC8E
ILMN_1658071	
ILMN_1769545	PRPF19
ILMN_1754458	SDHAP1
ILMN_1716400	FOXM1
ILMN_1727050	PPFIA1
ILMN_1804448	MSI2
ILMN_1728684	PELP1
ILMN_2215862	SLFN13
ILMN_1766185	AXIN1
ILMN_1794333	POU2F1
ILMN_1665945	ACBD3
ILMN_1788017	HSH2D
ILMN_1750052	NOP14
ILMN_2183510	MANF
ILMN_1761560	PHF13
ILMN_2370772	EIF4G1
ILMN_1765649	IRF3
ILMN_1671992	
ILMN_1782084	ALG1L
ILMN_1678095	SMPDL3B
ILMN_2398865	VPS13C
ILMN_1720124	RCC2
ILMN_2089073	ATP9A
ILMN_1747460	TMEM184B
ILMN_1709439	CHMP1A
ILMN_2038778	GAPDH
ILMN_2411963	RBM39
ILMN_1763875	ABCF1
ILMN_1673892	
ILMN_1745573	TTC13
ILMN_1756439	SCRN1
ILMN_1751072	SRPRB
ILMN_1724946	SPINT1
ILMN_2334989	CCT3
ILMN_2374425	CCNE1
ILMN_1754489	FBXL20
ILMN_1684620	SPAG4
ILMN_2083946	TGFA
ILMN_1753063	KIF15
ILMN_2143795	
ILMN_1711030	OPLAH
ILMN_1797813	SUZ12
ILMN_1769071	XKRX
ILMN_1758963	NADK
ILMN_2192683	DHX37
ILMN_1688070	
ILMN_2330243	NUDT1
ILMN_1726659	THOP1
ILMN_1814856	CACFD1
ILMN_1659960	IL4I1
ILMN_2117508	CTHRC1
ILMN_1801257	CENPA
ILMN_1738369	TUFM
ILMN_2384544	ADAM15
ILMN_1708204	COPG1
ILMN_1765796	ENO2
ILMN_2221808	DGCR5
ILMN_2074258	BARD1
ILMN_1690442	TMEM241
ILMN_1716973	POLM
ILMN_1672662	SLC20A1
ILMN_1696585	FERMT1
ILMN_1708414	GNL3L
ILMN_1799028	TSPAN5
ILMN_1691494	
ILMN_1729051	MSH6
ILMN_1795400	TBCD
ILMN_1803277	MVP
ILMN_1711823	C17orf70
ILMN_1759563	NRIP3
ILMN_1745904	CCDC6
ILMN_1666305	CDKN3
ILMN_2278729	EIF3B
ILMN_2414848	TBRG4
ILMN_1773079	COL3A1
ILMN_1708101	LMNB2
ILMN_1684647	ILKAP
ILMN_1805175	TGFA
ILMN_1856315	
ILMN_2360784	RRBP1
ILMN_1700583	ZNF750
ILMN_1661554	DIAPH1
ILMN_1742400	CEP350
ILMN_2041190	F2RL1
ILMN_2070052	LOC613037
ILMN_2415748	WSB1
ILMN_1718863	KCNK1
ILMN_1815190	METTL1
ILMN_1787628	NOP56
ILMN_2415583	HS6ST2
ILMN_1705733	RPRD2
ILMN_1760718	ZMIZ2
ILMN_1727300	ZNF444
ILMN_2218935	GPR37
ILMN_1796417	ASNS
ILMN_1792681	CCDC86
ILMN_1813374	MFSD12
ILMN_1770035	NCOA5
ILMN_2407824	
ILMN_1697460	REEP6
ILMN_1706238	
ILMN_1693630	VPS9D1
ILMN_1797933	MRPL17
ILMN_2399304	NAV2
ILMN_1776088	NAT9
ILMN_1746206	CEP131
ILMN_1673113	F2RL1
ILMN_2365307	CD276
ILMN_1744614	PLEKHG6
ILMN_1812702	SIX1
ILMN_1751086	ATL3
ILMN_2319952	VDR
ILMN_1741711	DOPEY2
ILMN_1726466	HDHD3
ILMN_1700461	PTGES3L-AARSD1
ILMN_1755582	PCSK1N
ILMN_1804522	CCDC47
ILMN_2345908	DDX11
ILMN_2406084	
ILMN_2268381	RRBP1
ILMN_1737728	CDCA3
ILMN_2311020	DNAJC12
ILMN_2366790	DDX52
ILMN_1788439	
ILMN_1671494	USP5
ILMN_2317543	ITGB4
ILMN_1756612	STK32A
ILMN_1793017	DGKQ
ILMN_2383349	STEAP3
ILMN_1754795	FAT1
ILMN_1798654	MCM6
ILMN_1787813	SLC5A3
ILMN_1781472	CDC42BPA
ILMN_2236655	HM13
ILMN_1696469	
ILMN_1790317	RAB26
ILMN_1790891	CKAP4
ILMN_1682038	TAF1D
ILMN_1724479	NR2C2
ILMN_2195482	CACNB3
ILMN_2060212	TBC1D24
ILMN_1744299	GPR110
ILMN_1808568	PYCR2
ILMN_2400352	
ILMN_2375992	SPINT1
ILMN_1810225	UVSSA
ILMN_1784110	CDK18
ILMN_1756920	ADAM15
ILMN_1698804	ATP10B
ILMN_2045729	WDR12
ILMN_2330495	OCIAD1
ILMN_1668634	FBXW7
ILMN_2065773	SCG5
ILMN_2336609	SYTL2
ILMN_1794522	EIF5A
ILMN_1812096	CADM4
ILMN_1687840	ABCB7
ILMN_1770977	TMEM134
ILMN_2162253	NMU
ILMN_1760335	ADPRHL1
ILMN_1662470	C10orf35
ILMN_1758623	HIST1H2BD
ILMN_1791770	SMARCC2
ILMN_2168952	DENR
ILMN_2268068	MAPKAP1
ILMN_1672356	ANKRD13D
ILMN_1662130	POM121
ILMN_1803743	ZSWIM8
ILMN_2376667	POFUT2
ILMN_2390821	
ILMN_1700238	ZNF500
ILMN_2077550	RACGAP1
ILMN_1767253	RRP12
ILMN_1651405	BRD9
ILMN_1764090	AK4
ILMN_1654851	FAM134A
ILMN_2277419	SLC38A10
ILMN_1777564	MAD2L1
ILMN_1721349	MAGT1
ILMN_1704091	DGAT1
ILMN_2358914	SLC35C2
ILMN_1682957	PACSIN3
ILMN_1668194	
ILMN_2093748	ZNF669
ILMN_1725441	NFATC2IP
ILMN_1676213	SRPX2
ILMN_1667932	
ILMN_1710192	
ILMN_1658411	CHD4
ILMN_2090397	ISG20L2
ILMN_2073758	MMP12
ILMN_1769388	GJB2
ILMN_1704446	
ILMN_2194627	GMCL1
ILMN_1716056	LMF2
ILMN_1766171	SNF8
ILMN_1756204	RPS6KA4
ILMN_1715392	PRPF3
ILMN_2405156	PPAP2C
ILMN_1814686	BCO1
ILMN_2225595	ACAD8
ILMN_1752965	GREM1
ILMN_1712469	GOLGA8A
ILMN_1843198	AK4
ILMN_1774604	PNKD
ILMN_2241124	GPR110
ILMN_1664294	LEPRE1
ILMN_1669657	
ILMN_1727049	
ILMN_1791375	
ILMN_2223805	CEP41
ILMN_1773780	FAM173A
ILMN_1685928	WDR34
ILMN_2188204	ATG12
ILMN_2196984	OIP5
ILMN_1753196	PTTG1
ILMN_1786328	DCAF12
ILMN_1662658	PUS1
ILMN_1660942	
ILMN_1814151	AGR2
ILMN_1655961	
ILMN_1789436	
ILMN_1673069	DPP9
ILMN_1809173	
ILMN_2321153	MUC4
ILMN_1799589	NOXA1
ILMN_1676191	DARS2
ILMN_1685122	COL9A2
ILMN_1753345	SCAMP5
ILMN_2169025	JOSD2
ILMN_2115490	NBPF9
ILMN_2390416	BAG6
ILMN_2230162	
ILMN_1691117	DNTTIP1
ILMN_1692267	B4GALT3
ILMN_1651282	
ILMN_1678757	BCYRN1
ILMN_1680129	NSUN2
ILMN_1728605	TTC3
ILMN_2043079	ILDR1
ILMN_1803073	DNAJC12
ILMN_1809613	NGEF
ILMN_1695719	AGO2
ILMN_1792910	MNT
ILMN_1756550	NUP62CL
ILMN_1715927	VSTM2L
